"P0100,""Kütle veya Hacim Hava Akýþ Devresi Arýzasý""";
"P0101,""Kütle veya Hacim Hava Akýþ Devresi Menzil/Performans Sorunu""";
"P0102,""Kütle veya Hacim Hava Akýþ Devresi Düþük Giriþ""";
"P0103,""Kütle veya Hacim Hava Akýþ Devresi Yüksek Giriþ""";
"P0104,""Kütle veya Hacim Hava Akýþ Devresi Kesintili""";
"P0105,""Manifold Mutlak Basýncý/Barometrik Basýnç Devresi Arýzasý""";
"P0106,""Manifold Mutlak Basýncý/Barometrik Basýnç Devresi Menzil/Performans Sorunu""";
"P0107,""Manifold Mutlak Basýncý/Barometrik Basýnç Devresi Düþük Giriþ""";
"P0108,""Manifold Mutlak Basýncý/Barometrik Basýnç Devresi Yüksek Giriþ""";
"P0109,""Manifold Mutlak Basýncý/Barometrik Basýnç Devresi Kesintili""";
"P0110,""IAT (Emilen Hava Sýcaklýðý) Devre Arýzasý""";
"P0111,""Emilen Hava Sýcaklýðý Devresi Menzil/Performans Sorunu""";
"P0112,""Emilen Hava Sýcaklýðý Devresi Düþük Giriþ""";
"P0113,""Emilen Hava Sýcaklýðý Devresi Yüksek Giriþ""";
"P0114,""Emilen Hava Sýcaklýðý Devresi Kesintili""";
"P0115,""Motor Soðutma Suyu Sýcaklýðý Devresi Arýzasý""";
"P0116,""Motor Soðutma Suyu Sýcaklýðý Devresi Menzil/Performans Sorunu""";
"P0117,""Motor Soðutma Suyu Sýcaklýðý Devresi Düþük Giriþ""";
"P0118,""Motor Soðutma Suyu Sýcaklýðý Devresi Yüksek Giriþ""";
"P0119,""Motor Soðutma Suyu Sýcaklýðý Devresi Kesintili""";
"P0120,""Gaz Kelebeði Konum Sensörü/Anahtarý A Devresi Arýzasý""";
"P0121,""Gaz Kelebeði Konum Sensörü/Anahtarý A Devresi Menzil/Performans Sorunu""";
"P0122,""Gaz Kelebeði Konum Sensörü/Anahtarý A Devresi Düþük Giriþ""";
"P0123,""Gaz Kelebeði Konum Sensörü/Anahtarý A Devresi Yüksek Giriþ""";
"P0124,""Gaz Kelebeði Konum Sensörü/Anahtarý A Devresi Kesintili""";
"P0125,""Kapalý Döngü Yakýt Kontrolü Ýçin Yetersiz Soðutma Suyu Sýcaklýðý""";
"P0126,""Kararlý Çalýþma Ýçin Yetersiz Soðutma Suyu Sýcaklýðý""";
"P0130,""O2 Sensörü Devresi Arýzasý (Sýra 1 Sensör 1)""";
"P0131,""O2 Sensörü Devresi Düþük Voltaj (Sýra 1 Sensör 1)""";
"P0132,""O2 Sensörü Devresi Yüksek Voltaj (Sýra 1 Sensör 1)""";
"P0133,""O2 Sensörü Devresi Yavaþ Yanýt (Sýra 1 Sensör 1)""";
"P0134,""O2 Sensörü Devresi Etkinlik Algýlanmadý (Sýra 1 Sensör 1)""";
"P0135,""O2 Sensörü Isýtýcý Devresi Arýzasý (Sýra 1 Sensör 1)""";
"P0136,""O2 Sensörü Devresi Arýzasý (Sýra 1 Sensör 2)""";
"P0137,""O2 Sensörü Devresi Düþük Voltaj (Sýra 1 Sensör 2)""";
"P0138,""O2 Sensörü Devresi Yüksek Voltaj (Sýra 1 Sensör 2)""";
